condition,百度翻译_疾病,symptom,百度翻译_症状,%,,阈值
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Cough,咳嗽,83,40.75,240
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Shortness of breath,气促,70,,百分比求平均*总症状数1/2
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Nasal congestion,鼻塞,54,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Fever,发烧,49,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Sore throat,喉咙痛,42,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Difficulty breathing,呼吸困难,39,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Sharp chest pain,胸痛,39,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Coryza,鼻炎,31,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Wheezing,哮喘,25,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Coughing up sputum,咳痰,23,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Congestion in chest,胸部充血,22,,
Chronic obstructive pulmonary disease (COPD),慢性阻塞性肺疾病（COPD）,Chest tightness,胸闷,12,,
Interstitial lung disease,间质性肺病,Cough,咳嗽,86,,
Interstitial lung disease,间质性肺病,Fever,发烧,73,,
Interstitial lung disease,间质性肺病,Nasal congestion,鼻塞,67,,
Interstitial lung disease,间质性肺病,Coryza,鼻炎,44,,
Interstitial lung disease,间质性肺病,Sore throat,喉咙痛,44,,
Interstitial lung disease,间质性肺病,Shortness of breath,气促,38,,
Interstitial lung disease,间质性肺病,Difficulty breathing,呼吸困难,38,,
Interstitial lung disease,间质性肺病,Headache,头痛,29,,
Interstitial lung disease,间质性肺病,Ear pain,耳朵痛,26,,
Interstitial lung disease,间质性肺病,Wheezing,哮喘,26,,
Pleural effusion,胸腔积液,Sharp chest pain,胸痛,82,,
Pleural effusion,胸腔积液,Shortness of breath,气促,76,,
Pleural effusion,胸腔积液,Cough,咳嗽,62,,
Pleural effusion,胸腔积液,Difficulty breathing,呼吸困难,43,,
Pleural effusion,胸腔积液,Hurts to breath,呼吸痛,35,,
Pleural effusion,胸腔积液,Back pain,背痛,32,,
Pleural effusion,胸腔积液,Rib pain,肋骨痛,31,,
Pleural effusion,胸腔积液,Fever,发烧,24,,
Pleural effusion,胸腔积液,Sharp abdominal pain,腹痛,24,,
Pneumothorax,气胸,Sharp chest pain,胸痛,76,,
Pneumothorax,气胸,Shortness of breath,气促,71,,
Pneumothorax,气胸,Shoulder pain,肩痛,41,,
Pneumothorax,气胸,Difficulty breathing,呼吸困难,41,,
Pneumothorax,气胸,Rib pain,肋骨痛,41,,
Pneumothorax,气胸,Back pain,背痛,38,,
Pneumothorax,气胸,Cough,咳嗽,31,,
Pneumothorax,气胸,Coughing up sputum,咳痰,13,,
Pneumothorax,气胸,Hurts to breath,呼吸痛,7,,
Pulmonary hypertension,肺动脉高压,Shortness of breath,气促,68,,
Pulmonary hypertension,肺动脉高压,Difficulty breathing,呼吸困难,39,,
Pulmonary hypertension,肺动脉高压,Sharp chest pain,胸痛,31,,
Pulmonary hypertension,肺动脉高压,Cough,咳嗽,25,,
Pulmonary hypertension,肺动脉高压,Wheezing,哮喘,16,,
Pulmonary hypertension,肺动脉高压,Peripheral edema,水肿,16,,
Pulmonary hypertension,肺动脉高压,Apnea,窒息,13,,
Pulmonary hypertension,肺动脉高压,Hurts to breath,呼吸痛,13,,
Pulmonary hypertension,肺动脉高压,Palpitations,心悸,9,,
Pulmonary hypertension,肺动脉高压,Hemoptysis,咯血,5,,
